,etiqueta
331583,0
331584,3
331585,5
331586,5
331587,5
331588,5
331591,5
331593,5
331594,3
331595,4
331596,4
331597,5
331598,5
331599,5
331603,3
331604,2
331608,5
331609,5
331610,5
331611,5
331612,5
331614,5
331615,0
331617,5
331618,3
331621,5
331624,5
331625,5
331626,5
331627,5
331628,3
331629,5
331630,5
331631,5
331632,5
331633,5
331634,5
331635,5
331636,3
331639,0
331642,2
331644,5
331645,5
331647,0
331648,2
331649,5
331650,5
331651,5
331652,5
331653,5
331655,5
331656,5
331657,5
331658,5
331660,5
331661,2
331662,5
331663,5
331664,5
331668,5
331669,5
331671,5
331673,5
331674,2
331675,5
331677,5
331678,3
331679,5
331680,5
331681,5
331682,0
331683,1
331685,5
331686,5
331687,5
331688,5
331690,2
331692,5
331693,2
331694,5
331695,3
331697,5
331698,5
331699,5
331700,5
331703,2
331704,5
331705,3
331706,5
331707,5
331708,2
331710,5
331711,5
331713,5
331714,0
331717,5
331719,4
331720,1
331722,5
331724,1
331725,5
331726,5
331729,5
331730,5
331731,5
331732,5
331734,5
331736,5
331739,5
331740,5
331742,5
331747,3
331748,4
331749,5
331750,5
331751,5
331752,5
331753,5
331754,4
331755,5
331756,4
331757,0
331758,5
331759,3
331760,5
331763,2
331766,5
331767,5
331768,5
331769,5
331770,5
331772,5
331773,3
331774,4
331776,5
331778,5
331779,0
331780,5
331781,5
331782,5
331783,4
331785,5
331787,4
331789,5
331790,5
331793,5
331794,3
331796,3
331797,5
331799,5
331801,5
331803,0
331805,5
331806,3
331812,5
331814,5
331815,4
331816,5
331817,5
331819,4
331821,5
331823,3
331824,5
331827,0
331828,5
331829,3
331830,5
331831,2
331834,5
331835,5
331836,5
331837,5
331838,5
331840,5
331841,5
331843,5
331844,2
331847,1
331849,5
331850,5
331852,-1
331853,5
331854,5
331855,5
331857,5
331859,5
331863,5
331865,5
331866,5
331868,4
331869,5
331870,2
331873,3
331874,5
331875,1
331879,4
331880,4
331881,5
331882,5
331884,5
331885,1
331886,3
331887,5
331888,5
331892,0
331895,5
331896,5
331897,5
331898,1
331899,5
331901,5
331902,0
331903,5
331904,5
331905,5
331906,5
331907,5
331908,2
331909,5
331910,5
331912,5
331915,2
331916,4
331918,5
331919,5
331920,5
331921,5
331922,3
331924,5
331925,5
331926,5
331929,3
331930,5
331932,5
331933,5
331934,5
331935,5
331937,5
331940,4
331941,5
331942,5
331943,4
331945,3
331947,5
331948,1
331949,5
331953,4
331954,3
331956,5
331957,5
331958,5
331964,3
331967,2
331968,5
331969,4
331970,2
331971,0
331972,5
331975,3
331976,5
331977,5
331978,1
331979,5
331983,5
331991,5
331992,5
331993,5
331994,2
331995,5
331996,5
331997,0
331998,5
331999,5
332000,1
332001,5
332002,5
332003,4
332004,0
332005,5
332006,2
332007,5
332008,4
332009,5
332012,5
332013,5
332015,5
332016,5
332017,2
332018,3
332019,5
332021,5
332022,3
332023,0
332026,-1
332027,5
332030,2
332037,5
332039,5
332040,5
332043,5
332045,1
332047,2
332048,5
332049,1
332050,5
332051,2
332052,5
332053,5
332054,5
332055,5
332057,5
332059,0
332060,5
332062,0
332063,5
332064,3
332066,5
332068,5
332069,5
332070,5
332071,1
332072,3
332073,5
332074,5
332075,5
332076,5
332077,5
332078,4
332082,5
332083,4
332084,5
332085,2
332086,5
332087,5
332089,5
332090,5
332091,5
332094,5
332095,1
332096,5
332097,3
332098,5
332099,5
332100,2
332101,5
332102,5
332103,5
332104,5
332105,4
332106,5
332108,3
332109,5
332110,5
332114,5
332115,5
332116,4
332117,5
332118,5
332119,5
332123,4
332124,5
332125,4
332126,3
332127,5
332128,5
332129,5
332130,5
332131,2
332132,1
332133,-1
332136,5
332138,5
332140,5
332141,3
332142,5
332143,3
332144,0
332146,5
332147,5
332150,5
332151,5
332152,5
332153,5
332154,5
332155,5
332156,5
332157,5
332159,5
332160,5
332161,5
332162,4
332163,5
332164,5
332165,0
332166,5
332167,3
332168,5
332169,4
332170,5
332173,2
332174,2
332175,3
332176,3
332177,3
332178,0
332179,5
332180,3
332182,5
332183,5
332184,4
332185,4
332186,5
332187,5
332188,1
332189,5
332191,5
332196,5
332198,0
332199,5
332200,5
332202,5
332203,3
332205,5
332206,5
332208,5
332209,5
332210,5
332211,5
332212,5
332213,5
332215,5
332217,5
332218,5
332220,5
332221,2
332222,5
332223,5
332224,5
332225,5
332227,5
332231,4
332232,5
332233,0
332234,5
332235,5
332238,2
332239,5
332240,1
332242,1
332243,0
332244,5
332245,4
332246,5
332247,5
332248,1
332249,1
332250,2
332252,5
332253,3
332254,5
332256,4
332257,5
332258,3
332259,3
332260,1
332263,4
332264,3
332265,5
332267,3
332268,5
332269,5
332270,5
332272,2
332273,5
332274,2
332275,5
332276,5
332277,5
332279,5
332280,2
332281,5
332282,4
332284,5
332285,5
332286,5
332288,2
332289,5
332290,5
332291,1
332293,5
332294,5
332295,5
332296,5
332297,3
332299,5
332300,5
332302,2
332303,3
332306,5
332307,3
332308,5
332309,5
332310,2
332312,5
332313,5
332314,1
332315,-1
332316,5
332319,5
332323,5
332324,5
332325,5
332326,5
332328,3
332329,5
332330,2
332331,5
332332,1
332333,5
332334,5
332337,5
332339,5
332341,5
332343,2
332344,5
332347,5
332349,0
332356,5
332357,4
332358,5
332360,3
332361,3
332362,5
332363,-1
332366,5
332367,5
332368,2
332371,2
332373,5
332374,5
332375,2
332376,5
332377,4
332379,1
332380,1
332381,0
332382,5
332383,1
332385,5
332386,5
332387,5
332389,1
332390,1
332391,5
332392,5
332393,5
332394,5
332395,5
332397,5
332398,5
332399,5
332400,5
332401,5
332402,2
332406,0
332407,5
332409,5
332410,5
332411,4
332412,5
332413,1
332414,5
332415,0
332416,5
332417,5
332418,5
332419,5
332421,5
332422,3
332423,5
332424,5
332428,5
332430,5
332431,4
332434,5
332435,5
332439,2
332441,0
332442,5
332448,5
332449,5
332450,5
332453,5
332454,5
332456,5
332457,2
332462,5
332464,5
332465,5
332470,5
332471,5
332473,5
332474,0
332475,5
332476,2
332477,5
332478,3
332479,5
332481,5
332483,4
332484,1
332485,5
332486,5
332487,5
332489,0
332491,3
332492,5
332493,5
332494,5
332495,0
332497,3
332498,3
332500,1
332501,5
332505,5
332506,3
332508,5
332509,4
332510,5
332511,5
332512,2
332513,5
332516,5
332518,5
332519,5
332520,5
332521,5
332522,5
332523,0
332524,4
332525,5
332526,5
332527,5
332531,2
332532,4
332533,5
332534,2
332535,0
332536,0
332537,5
332538,5
332539,2
332540,5
332541,5
332543,5
332544,5
332545,1
332549,-1
332551,5
332552,2
332553,1
332554,5
332555,5
332556,1
332557,5
332558,5
332563,5
332565,5
332567,5
332568,5
332569,5
332570,5
332571,5
332572,1
332573,5
332575,5
332576,5
332577,5
332580,5
332581,5
332582,5
332583,5
332584,2
332585,3
332586,3
332587,0
332588,1
332589,5
332590,5
332591,5
332592,2
332595,5
332596,5
332597,5
332598,5
332599,5
332602,5
332603,5
332604,5
332606,2
332607,5
332608,5
332611,5
332614,2
332615,5
332616,5
332617,5
332618,5
332623,5
332624,0
332625,0
332626,5
332628,5
332629,5
332630,3
332631,5
332632,2
332635,3
332636,5
332639,3
332640,5
332641,5
332645,-1
332646,1
332647,5
332649,5
332652,4
332655,0
332661,5
332662,0
332664,5
332665,5
332668,5
332670,2
332671,5
332672,5
332674,3
332675,5
332676,5
332677,4
332679,5
332680,5
332681,4
332682,1
332684,5
332685,5
332686,2
332688,5
332689,0
332693,5
332696,5
332697,5
332700,3
332702,5
332703,3
332704,-1
332705,5
332706,0
332707,5
332708,5
332713,5
332717,5
332719,3
332721,5
332727,0
332729,1
332730,2
332732,5
332735,5
332737,5
332738,-1
332740,5
332741,5
332742,5
332743,5
332744,5
332746,5
332748,5
332749,5
332750,5
332754,5
332756,3
332759,2
332760,5
332761,5
332762,5
332763,1
332765,5
332766,1
332767,5
332768,5
332770,5
332771,0
332772,5
332773,5
332777,1
332778,0
332780,5
332781,5
332782,5
332787,5
332790,5
332791,5
332792,1
332793,4
332794,1
332797,5
332798,3
332800,5
332802,5
332807,5
332809,5
332810,3
332812,5
332814,3
332815,5
332816,1
332817,1
332818,5
332821,1
332823,3
332824,5
332828,5
332829,5
332831,5
332833,5
332834,1
332835,3
332836,0
332837,0
332838,2
332840,5
332841,5
332846,5
332847,5
332850,5
332851,0
332852,0
332854,5
332860,5
332863,5
332864,5
332866,5
332867,5
332870,5
332871,5
332873,2
332876,5
332878,5
332879,5
332880,4
332884,4
332885,5
332886,5
332891,5
332892,2
332893,0
332895,3
332900,5
332901,5
332902,3
332904,4
332906,5
332907,5
332908,5
332911,0
332912,5
332915,5
332917,5
332919,5
332922,5
332924,5
332925,5
332926,5
332928,5
332930,5
332932,5
332933,5
332934,3
332935,5
332937,1
332941,5
332943,4
332946,4
332952,1
332955,5
332956,5
332958,3
332961,5
332963,5
332965,5
332966,5
332967,3
332969,5
332970,5
332971,0
332972,5
332975,5
332977,0
332978,5
332979,1
332982,3
332984,5
332987,5
332988,5
332991,5
332993,5
332994,5
332995,5
332998,5
332999,4
333000,4
333002,5
333003,1
333004,2
333005,5
333006,5
333008,5
333010,2
333014,5
333015,5
333016,5
333018,1
333019,2
333021,5
333022,5
333025,5
333026,5
333027,5
333034,0
333039,5
333040,5
333041,5
333042,0
333043,1
333044,4
333045,5
333047,5
333051,5
333056,5
333057,0
333058,5
333060,1
333061,5
333062,5
333063,5
333064,0
333065,5
333068,5
333069,5
333071,5
333072,5
333073,5
333074,1
333076,5
333077,5
333078,5
333080,0
333081,5
333085,5
333086,4
333088,5
333089,5
333090,5
333092,1
333093,5
333094,5
333096,5
333099,5
333100,5
333102,5
333103,5
333106,5
333107,5
333112,0
333113,5
333114,5
333115,5
333116,0
333118,5
333120,1
333122,5
333123,5
333124,5
333125,2
333130,1
333131,5
333132,5
333133,2
333134,0
333135,0
333136,5
333138,1
333140,5
333143,3
333145,5
333146,5
333147,5
333148,1
333149,5
333150,0
333153,1
333154,5
333155,0
333157,5
333158,5
333161,5
333163,5
333165,5
333168,3
333170,5
333171,5
333175,5
333177,0
333178,5
333179,5
333180,5
333181,3
333183,0
333185,5
333187,5
333189,5
333190,5
333194,5
333198,2
333199,5
333203,5
333205,5
333206,5
333210,5
333214,5
333217,5
333220,1
333223,3
333224,5
333225,3
333226,5
333228,3
333229,5
333230,2
333232,0
333234,3
333235,5
333237,5
333238,5
333241,5
333242,5
333247,5
333249,5
333251,5
333252,1
333253,5
333256,5
333257,5
333258,5
333260,5
333261,5
333264,5
333265,5
333267,5
333270,5
333272,5
333273,0
333274,5
333276,5
333277,5
333280,5
333282,0
333283,5
333284,5
333286,5
333288,5
333290,5
333292,5
333293,3
333296,0
333297,5
333299,0
333301,1
333302,5
333303,1
333305,0
333307,4
333310,-1
333312,5
333313,5
333314,1
333315,5
333317,5
333318,5
333321,5
333324,5
333325,1
333326,5
333327,1
333328,2
333330,5
333331,5
333332,2
333333,5
333335,1
333338,5
333341,1
333342,5
333343,5
333345,5
333346,0
333348,1
333349,5
333351,5
333352,4
333355,5
333358,5
333359,5
333360,5
333361,5
333362,1
333363,5
333364,5
333365,5
333366,5
333368,3
333369,5
333370,5
333371,5
333374,5
333375,5
333377,5
333378,5
333379,3
333380,5
333382,2
333384,4
333385,1
333390,5
333391,5
333393,5
333394,5
333395,5
333396,0
333397,0
333398,5
333399,5
333400,5
333403,5
333405,2
333406,1
333408,5
333409,5
333411,3
333415,5
333421,1
333423,5
333424,3
333425,5
333426,0
333427,2
333428,5
333429,5
333430,5
333432,2
333438,5
333440,5
333443,5
333446,5
333448,5
333449,2
333450,5
333451,5
333453,5
333454,5
333456,5
333459,5
333463,5
333464,5
333465,5
333468,4
333469,5
333473,-1
333476,0
333478,5
333484,5
333485,5
333486,0
333487,5
333488,5
333489,5
333493,5
333494,5
333495,5
333496,5
333498,5
333501,5
333502,5
333503,1
333506,5
333507,5
333509,-1
333511,5
333514,5
333515,5
333517,5
333518,5
333520,4
333524,4
333525,5
333526,5
333527,5
333530,5
333531,5
333532,5
333533,5
333534,5
333536,5
333537,5
333538,5
333539,5
333541,5
333542,5
333543,5
333546,4
333547,5
333549,3
333550,5
333555,5
333557,5
333560,3
333561,5
333563,5
333564,5
333565,5
333567,0
333570,5
333571,5
333573,5
333574,0
333575,5
333577,4
333581,5
333584,5
333586,1
333587,5
333588,2
333589,5
333596,5
333599,5
333601,5
333602,2
333604,5
333610,1
333611,5
333612,5
333613,5
333614,3
333615,5
333617,5
333621,5
333622,5
333623,5
333624,5
333625,2
333627,5
333629,4
333630,5
333635,5
333636,5
333640,5
333641,3
333643,4
333644,5
333645,5
333646,2
333647,3
333650,5
333652,5
333654,2
333655,5
333656,5
333658,5
333660,3
333661,1
333666,5
333667,5
333669,4
333670,0
333675,5
333676,5
333677,5
333679,0
333680,5
333682,5
333684,5
333685,5
333686,3
333688,4
333689,4
333690,5
333691,5
333692,5
333694,5
333695,0
333696,0
333697,5
333701,5
333702,5
333703,5
333704,0
333705,2
333706,4
333707,2
333708,5
333709,5
333712,5
333713,5
333714,2
333715,5
333716,5
333719,5
333720,5
333721,1
333723,4
333724,5
333725,5
333726,5
333727,5
333728,0
333729,5
333731,3
333732,2
333734,5
333740,5
333742,2
333744,2
333746,2
333747,1
333748,5
333749,5
333750,5
333751,5
333752,5
333753,5
333755,5
333756,5
333757,5
333759,5
333760,5
333761,5
333762,5
333763,5
333767,2
333769,5
333770,5
333771,5
333772,2
333773,5
333775,5
333777,5
333778,5
333781,5
333782,2
333783,5
333786,5
333787,5
333788,0
333792,2
333795,2
333796,5
333797,5
333798,5
333799,5
333800,5
333804,5
333806,5
333807,-1
333808,5
333809,5
333811,5
333816,5
333817,5
333819,4
333821,2
333822,5
333823,5
333824,-1
333827,5
333829,5
333830,0
333831,5
333832,5
333833,5
333834,5
333837,2
333840,0
333842,5
333844,0
333847,5
333848,5
333849,1
333850,3
333851,0
333852,5
333853,4
333854,5
333855,0
333856,5
333858,5
333861,1
333862,5
333864,5
333866,0
333871,5
333872,5
333873,5
333875,5
333878,5
333879,5
333880,5
333881,0
333882,5
333883,0
333886,5
333887,4
333888,5
333891,5
333894,0
333895,5
333896,5
333901,4
333903,5
333904,5
333905,3
333906,5
333907,5
333909,2
333914,5
333915,5
333919,3
333920,5
333921,3
333922,5
333924,3
333925,5
333926,5
333928,0
333929,5
333936,3
333940,3
333941,5
333944,5
333946,5
333953,5
333954,3
333956,5
333957,4
333959,5
333960,5
333961,5
333962,-1
333963,3
333966,5
333967,5
333968,5
333969,5
333970,4
333971,5
333972,0
333975,5
333976,5
333977,5
333978,5
333979,5
333980,5
333985,5
333988,3
333990,2
333995,3
333996,2
333998,5
333999,5
334002,5
334005,2
334012,-1
334013,2
334014,5
334015,5
334017,3
334019,4
334022,2
334024,0
334026,5
334027,5
334028,5
334029,5
334032,4
334033,5
334036,5
334038,5
334039,4
334040,5
334042,5
334044,0
334045,5
334047,5
334049,5
334050,5
334051,0
334054,3
334055,1
334056,5
334057,5
334058,5
334060,3
334063,5
334065,0
334067,0
334068,5
334073,5
334079,5
334080,4
334087,5
334088,2
334089,5
334091,5
334093,2
334094,5
334097,5
334099,5
334104,0
334105,0
334110,5
334114,5
334115,0
334117,5
334118,5
334122,5
334123,5
334124,4
334128,5
334130,1
334134,5
334135,5
334136,5
334138,5
334139,-1
334140,3
334141,5
334142,5
334144,5
334146,3
334147,5
334153,4
334154,0
334156,1
334160,5
334161,5
334162,3
334166,5
334167,0
334174,5
334176,5
334178,4
334179,5
334183,5
334184,5
334186,5
334187,2
334188,5
334189,5
334190,3
334192,3
334195,5
334197,4
334201,5
334203,1
334205,5
334206,5
334209,5
334210,5
334213,5
334214,5
334215,5
334218,5
334220,5
334223,5
334225,5
334229,2
334230,5
334231,5
334232,5
334236,5
334237,5
334243,5
334245,5
334246,5
334253,3
334254,1
334257,3
334258,5
334262,5
334264,5
334265,0
334268,5
334271,5
334272,1
334273,1
334275,3
334276,5
334277,5
334278,5
334280,5
334282,0
334283,2
334284,5
334287,5
334288,5
334299,5
334300,5
334303,5
334304,5
334307,0
334308,5
334309,0
334310,5
334311,5
334312,5
334313,0
334316,5
334318,5
334319,0
334325,5
334328,5
334330,0
334332,5
334333,5
334338,2
334339,5
334341,5
334344,5
334346,3
334347,5
334352,5
334353,5
334357,5
334361,5
334362,5
334365,5
334367,5
334368,5
334369,5
334372,5
334374,5
334376,1
334377,5
334379,2
334380,5
334384,5
334385,0
334387,5
334391,5
334392,5
334393,0
334396,3
334397,5
334399,5
334400,5
334401,5
334403,5
334405,5
334408,2
334410,5
334413,5
334414,5
334415,5
334420,5
334421,5
334423,5
334425,5
334428,5
334430,5
334434,2
334436,5
334437,5
334441,5
334442,3
334444,5
334446,5
334447,4
334448,5
334449,0
334450,4
334451,5
334453,5
334454,0
334455,5
334456,5
334458,5
334462,5
334466,5
334467,5
334468,5
334474,5
334475,5
334478,5
334480,5
334482,5
334483,3
334490,5
334491,5
334492,5
334495,-1
334499,5
334500,5
334502,5
334503,5
334504,5
334509,5
334511,4
334513,5
334516,5
334517,5
334521,5
334525,0
334526,5
334528,5
334529,5
334533,3
334537,5
334539,5
334540,5
334541,5
334542,5
334547,5
334548,5
334549,0
334550,5
334551,5
334553,4
334558,5
334559,0
334560,5
334561,5
334562,5
334565,3
334567,5
334568,1
334569,5
334572,4
334574,5
334575,5
334578,5
334581,3
334582,5
334585,5
334586,5
334587,5
334590,2
334592,5
334595,5
334596,5
334597,2
334598,5
334601,5
334602,2
334604,5
334606,5
334609,0
334611,0
334613,5
334614,2
334615,5
334617,0
334624,5
334631,5
334632,5
334633,5
334634,5
334635,5
334637,5
334638,5
334642,5
334644,5
334645,3
334647,3
334650,5
334653,5
334654,5
334655,3
334656,5
334660,5
334662,5
334663,5
334664,5
334667,5
334672,4
334673,5
334678,0
334681,0
334684,5
334687,0
334690,5
334691,2
334693,1
334705,5
334707,3
334708,5
334709,5
334712,5
334715,5
334716,0
334719,3
334721,4
334722,5
334723,4
334727,5
334729,5
334731,3
334732,5
334733,5
334735,5
334736,2
334738,5
334739,5
334740,1
334742,5
334743,3
334745,0
334748,5
334756,5
334758,5
334762,4
334763,5
334767,5
334768,5
334769,5
334771,0
334774,5
334778,5
334781,5
334786,5
334787,5
334791,5
334792,5
334793,5
334794,5
334795,5
334801,0
334803,5
334804,5
334805,3
334806,0
334808,5
334809,5
334811,5
334817,5
334822,5
334824,5
334825,0
334830,5
334831,1
334835,5
334838,5
334841,5
334842,5
334849,5
334850,3
334851,5
334852,5
334853,5
334854,5
334856,5
334857,5
334858,5
334859,5
334864,2
334870,2
334871,5
334872,-1
334873,5
334874,5
334875,2
334879,5
334882,5
334883,5
334886,1
334887,5
334888,5
334890,5
334891,5
334896,5
334899,5
334900,5
334901,5
334902,3
334904,0
334908,5
334910,5
334911,5
334915,5
334916,5
334917,5
334918,4
334920,5
334922,1
334925,1
334926,5
334927,5
334929,4
334931,2
334934,5
334935,3
334936,0
334937,5
334938,5
334944,5
334945,2
334946,5
334950,5
334952,5
334953,5
334955,0
334956,5
334961,5
334963,5
334965,5
334967,4
334968,0
334972,5
334974,5
334975,5
334976,0
334977,4
334980,0
334981,5
334982,5
334983,5
334985,5
334988,5
334989,5
334993,5
334994,5
334999,5
335004,5
335005,5
335006,3
335007,0
335010,5
335015,4
335019,5
335020,5
335021,5
335024,5
335028,5
335029,5
335030,5
335032,1
335033,5
335035,5
335036,5
335037,5
335038,4
335039,5
335041,5
335042,5
335043,1
335044,5
335046,5
335047,5
335049,5
335050,5
335051,3
335052,3
335053,5
335054,5
335055,3
335057,5
335058,5
335059,2
335060,5
335062,5
335065,5
335066,5
335067,2
335070,3
335072,5
335073,4
335074,5
335075,1
335076,1
335078,4
335079,3
335080,5
335081,5
335083,5
335084,2
335085,5
335086,5
335087,5
335088,5
335089,0
335090,5
335091,5
335092,5
335093,5
335094,5
335095,5
335096,5
335098,5
335099,3
335100,2
335102,4
335104,1
335105,4
335106,0
335107,5
335108,5
335109,2
335113,5
335114,0
335117,5
335119,5
335121,3
335124,5
335126,5
335127,5
335130,5
335133,2
335134,5
335136,5
335137,5
335138,5
335141,5
335143,5
335144,3
335145,5
335146,5
335147,2
335148,5
335150,5
335151,5
335152,5
335153,3
335154,5
335156,5
335157,4
335159,4
335160,4
335161,5
335162,2
335163,5
335164,5
335165,3
335167,5
335168,5
335170,-1
335171,2
335172,5
335173,5
335174,5
335175,5
335176,5
335177,5
335178,5
335179,5
335180,5
335181,5
335182,5
335184,0
335185,1
335186,5
335187,1
335188,0
335190,4
335193,5
335194,5
335195,3
335199,5
335200,5
335201,5
335202,5
335203,5
335205,3
335206,2
335208,2
335209,5
335210,5
335212,5
335213,5
335214,5
335215,1
335217,5
335219,5
335221,4
335222,5
335223,5
335226,2
335228,5
335229,5
335230,5
335232,5
335234,5
335236,5
335237,5
335240,5
335241,2
335242,5
335243,2
335247,1
335248,2
335251,5
335253,5
335254,5
335255,5
335256,5
335257,4
335259,4
335262,5
335265,5
335267,5
335269,5
335270,5
335271,5
335275,5
335276,5
335278,3
335280,5
335281,2
335282,-1
335285,5
335286,5
335287,5
335289,5
335291,5
335294,5
335300,5
335301,3
335302,5
335305,5
335306,5
335308,5
335309,5
335311,1
335312,5
335313,5
335314,5
335315,5
335316,0
335318,5
335319,5
335320,3
335323,5
335324,5
335326,5
335329,5
335330,5
335331,5
335332,0
335333,5
335334,5
335337,5
335338,5
335339,5
335341,5
335342,5
335347,5
335348,3
335349,5
335350,5
335351,5
335352,3
335353,5
335354,2
335355,1
335357,5
335359,5
335361,5
335363,5
335364,5
335365,4
335366,1
335367,5
335368,2
335370,5
335371,5
335372,5
335373,5
335374,0
335375,2
335376,5
335378,3
335380,5
335384,5
335386,1
335391,5
335392,5
335393,2
335395,5
335397,2
335398,5
335399,2
335401,5
335404,5
335405,5
335406,5
335408,5
335409,3
335410,2
335413,5
335415,5
335416,5
335418,0
335419,5
335420,5
335423,4
335424,2
335425,5
335427,5
335429,5
335430,5
335433,5
335434,2
335435,5
335436,3
335437,5
335438,5
335440,5
335441,5
335442,5
335443,0
335444,5
335448,5
335452,5
335453,5
335455,5
335457,3
335458,5
335460,5
335463,5
335465,5
335466,5
335467,5
335468,5
335469,2
335470,5
335472,5
335473,4
335474,2
335476,5
335477,5
335478,5
335480,5
335482,5
335483,5
335485,5
335488,5
335492,5
335493,5
335494,5
335495,5
335496,5
335498,4
335499,5
335500,5
335501,1
335502,5
335503,5
335504,0
335506,0
335507,5
335510,5
335513,4
335514,5
335517,5
335518,5
335519,3
335520,1
335521,5
335522,5
335524,5
335526,5
335527,5
335530,4
335531,5
335532,5
335533,0
335534,5
335536,5
335537,3
335538,3
335539,5
335540,2
335541,5
335542,5
335543,4
335545,5
335546,5
335547,5
335548,5
335549,1
335550,4
335553,5
335554,5
335555,3
335557,5
335558,5
335559,4
335561,5
335562,5
335563,2
335565,5
335567,5
335569,5
335570,5
335573,3
335574,4
335575,4
335577,2
335578,5
335579,5
335580,2
335582,5
335583,5
335584,5
335585,5
335586,5
335588,5
335589,1
335590,2
335592,2
335593,5
335594,4
335596,5
335599,5
335600,5
335601,3
335603,5
335604,0
335606,5
335607,5
335608,5
335609,4
335610,1
335611,2
335613,4
335614,5
335617,5
335619,5
335620,5
335621,2
335623,5
335625,5
335626,1
335627,5
335628,4
335629,5
335632,1
335634,5
335635,5
335641,5
335643,3
335644,2
335645,5
335646,5
335647,5
335648,1
335649,5
335650,4
335651,5
335652,5
335653,5
335654,5
335655,0
335656,5
335658,1
335659,5
335662,5
335665,1
335666,2
335667,5
335668,5
335669,3
335670,5
335671,0
335673,5
335677,1
335678,5
335679,5
335681,5
335683,5
335684,1
335686,2
335687,5
335688,5
335690,3
335691,2
335693,5
335694,5
335695,5
335697,5
335699,5
335700,5
335701,5
335704,2
335706,3
335707,5
335708,5
335709,5
335712,5
335713,5
335714,0
335717,1
335718,5
335721,2
335722,4
335723,2
335724,5
335726,5
335727,5
335728,5
335730,5
335731,5
335734,3
335735,5
335737,5
335739,5
335740,5
335741,5
335745,5
335746,5
335747,5
335748,1
335752,5
335753,5
335754,5
335757,2
335758,2
335760,5
335761,5
335762,5
335763,2
335764,5
335765,5
335766,5
335767,5
335768,5
335769,5
335770,1
335771,3
335772,2
335773,2
335775,2
335776,5
335777,4
335778,5
335779,5
335780,2
335782,5
335783,5
335784,5
335786,5
335788,5
335789,5
335792,5
335793,5
335794,5
335795,4
335796,5
335797,5
335798,5
335800,5
335801,5
335802,5
335804,5
335806,5
335808,3
335809,5
335811,5
335813,4
335814,5
335816,5
335817,5
335819,4
335820,4
335822,5
335824,5
335825,5
335827,5
335828,5
335829,5
335830,5
335831,5
335832,5
335833,5
335834,5
335836,5
335837,2
335838,5
335841,1
335842,5
335843,5
335844,5
335845,5
335847,5
335848,5
335849,5
335850,1
335851,2
335853,5
335854,5
335855,5
335857,5
335858,5
335859,5
335860,5
335861,1
335863,3
335864,2
335866,5
335868,0
335869,5
335870,5
335871,5
335872,2
335874,5
335875,5
335876,5
335878,5
335879,5
335881,5
335883,5
335885,5
335886,3
335887,1
335888,4
335889,5
335890,5
335891,5
335892,5
335893,0
335894,5
335895,4
335896,5
335897,4
335898,5
335899,0
335900,2
335901,5
335902,5
335904,5
335907,5
335908,5
335909,5
335911,1
335912,5
335913,5
335914,0
335915,5
335918,4
335919,4
335921,4
335922,5
335923,5
335928,5
335929,5
335933,5
335934,5
335938,2
335941,5
335942,-1
335943,1
335945,5
335946,5
335949,2
335950,5
335951,5
335952,5
335953,5
335954,5
335955,5
335957,3
335958,5
335963,5
335964,3
335965,5
335966,5
335967,5
335968,3
335969,3
335970,5
335971,5
335975,5
335976,3
335977,0
335978,3
335979,5
335980,5
335983,5
335984,5
335985,5
335986,5
335989,5
335991,5
335994,5
335995,2
335996,5
335998,1
335999,5
336001,3
336002,5
336003,5
336004,5
336005,5
336006,5
336007,2
336008,2
336009,3
336011,5
336012,5
336013,2
336015,5
336016,5
336017,3
336019,5
336020,5
336021,4
336023,5
336024,4
336025,2
336028,5
336030,2
336031,-1
336032,2
336034,4
336038,5
336045,5
336046,5
336048,5
336049,1
336050,5
336051,5
336052,0
336053,5
336055,5
336058,5
336059,5
336061,5
336064,5
336066,5
336069,5
336073,5
336074,5
336075,3
336076,5
336077,5
336078,1
336081,2
336082,5
336083,5
336086,5
336088,5
336089,5
336091,5
336092,5
336093,5
336095,5
336096,5
336099,2
336100,5
336101,5
336102,5
336103,5
336106,5
336107,5
336108,5
336109,5
336111,5
336112,2
336113,5
336114,5
336115,5
336116,5
336117,5
336118,4
336119,5
336120,5
336121,5
336122,5
336123,5
336124,1
336125,5
336126,5
336127,5
336128,5
336130,5
336131,2
336133,5
336134,2
336136,3
336138,5
336139,5
336140,5
336141,4
336142,5
336143,3
336144,3
336146,5
336149,2
336150,5
336154,5
336155,5
336156,5
336157,5
336158,5
336159,5
336161,3
336162,5
336163,5
336164,5
336165,5
336166,5
336167,5
336170,2
336171,5
336173,3
336174,5
336175,2
336176,5
336177,5
336178,3
336179,5
336180,5
336181,5
336182,5
336184,3
336185,3
336187,5
336188,5
336189,5
336190,5
336191,5
336192,2
336193,5
336197,5
336198,5
336199,3
336200,3
336201,0
336202,5
336204,5
336206,5
336207,5
336208,5
336209,5
336211,2
336212,5
336215,2
336217,5
336220,2
336221,5
336223,5
336225,5
336226,4
336227,5
336229,2
336230,5
336231,5
336232,0
336235,1
336236,3
336237,5
336239,5
336240,5
336244,5
336245,3
336247,5
336248,5
336250,5
336252,1
336253,5
336254,4
336255,0
336256,5
336261,1
336262,3
336264,4
336265,5
336268,-1
336270,5
336274,2
336276,-1
336277,5
336278,3
336279,4
336281,3
