,etiqueta
300451,5
300452,0
300453,5
300454,-1
300455,5
300456,5
300458,3
300459,5
300460,5
300461,5
300462,0
300463,3
300464,5
300466,0
300467,5
300471,5
300472,5
300475,5
300476,1
300478,0
300479,5
300481,5
300482,5
300483,5
300485,5
300486,5
300487,3
300488,5
300490,5
300491,5
300493,5
300494,5
300495,5
300496,5
300497,5
300498,5
300499,5
300500,5
300501,5
300502,5
300503,5
300504,5
300505,2
300506,5
300507,0
300508,5
300509,3
300510,5
300511,5
300512,5
300514,0
300515,2
300516,5
300517,5
300518,5
300519,0
300520,5
300523,5
300524,5
300525,0
300527,4
300536,5
300537,2
300538,5
300544,5
300545,5
300546,5
300547,5
300548,5
300549,0
300551,5
300552,3
300556,5
300569,5
300570,1
300575,5
300576,5
300579,1
300581,5
300590,5
300591,5
300595,1
300596,5
300597,1
300598,5
300600,5
300609,5
300610,2
300611,5
300613,5
300614,5
300615,5
300620,2
300621,5
300625,5
300629,5
300635,5
300636,1
300640,5
300643,5
300644,5
300646,5
300647,5
300648,5
300653,5
300655,2
300659,5
300660,5
300664,5
300665,5
300666,0
300669,4
300672,5
300673,1
300677,5
300680,5
300685,5
300687,5
300688,5
300689,3
300691,5
300692,0
300694,5
300695,4
300698,5
300700,5
300702,5
300704,5
300706,2
300707,5
300708,5
300709,0
300710,3
300714,5
300715,5
300716,5
300720,2
300722,5
300727,2
300731,2
300732,1
300734,5
300737,5
300738,5
300740,-1
300741,5
300743,5
300745,4
300748,5
300749,4
300755,5
300756,5
300763,3
300764,1
300768,1
300769,5
300772,5
300778,5
300779,5
300781,5
300782,0
300783,5
300785,5
300786,5
300787,5
300788,5
300789,5
300790,5
300791,5
300792,3
300796,5
300798,2
300799,4
300803,2
300804,5
300809,5
300810,5
300811,1
300812,2
300814,5
300815,5
300816,2
300817,1
300818,5
300819,5
300821,5
300822,0
300829,5
300830,1
300831,2
300834,2
300835,5
300838,5
300840,5
300842,5
300844,2
300845,2
300846,5
300847,5
300848,5
300850,3
300851,1
300852,5
300853,5
300854,5
300855,2
300857,1
300861,5
300862,4
300863,5
300865,4
300866,5
300867,5
300868,5
300869,1
300871,5
300873,2
300874,5
300876,5
300880,5
300881,1
300883,3
300885,5
300886,2
300887,5
300890,3
300891,5
300894,5
300895,2
300896,1
300897,5
300899,5
300900,5
300901,3
300902,5
300903,5
300904,5
300907,5
300908,5
300909,3
300910,5
300911,3
300912,5
300913,0
300914,5
300915,3
300916,0
300919,4
300920,4
300921,5
300922,0
300923,5
300924,4
300925,5
300926,5
300927,5
300928,5
300929,5
300930,5
300931,0
300932,4
300933,3
300938,3
300940,5
300941,5
300943,4
300944,5
300946,5
300947,5
300948,5
300951,5
300952,5
300953,3
300954,5
300955,2
300956,5
300957,5
300960,5
300962,4
300964,5
300965,5
300967,5
300969,5
300970,5
300974,4
300976,5
300977,5
300978,2
300983,4
300984,0
300985,5
300988,5
300990,5
300995,4
300996,5
300999,4
301001,2
301002,5
301003,4
301004,5
301006,3
301007,5
301008,5
301011,5
301012,5
301013,5
301015,1
301016,4
301017,5
301018,5
301019,5
301020,5
301021,5
301023,5
301027,5
301028,5
301029,5
301030,1
301031,1
301032,0
301034,0
301035,5
301037,5
301038,5
301041,3
301042,4
301046,4
301047,5
301049,5
301052,5
301053,5
301056,5
301057,4
301059,5
301062,4
301063,3
301064,5
301065,0
301066,5
301067,2
301068,2
301069,2
301070,5
301071,5
301073,5
301074,2
301076,5
301078,5
301079,-1
301081,5
301082,5
301083,5
301084,5
301085,3
301086,0
301087,5
301088,1
301089,5
301090,5
301092,5
301093,5
301094,5
301095,5
301096,5
301097,5
301098,1
301099,5
301100,5
301103,5
301104,5
301105,5
301106,3
301107,5
301109,1
301110,5
301111,5
301113,5
301116,5
301123,5
301126,5
301127,5
301128,5
301130,4
301136,3
301137,3
301138,5
301140,5
301141,5
301142,5
301143,5
301144,5
301145,4
301146,5
301147,5
301150,4
301152,5
301153,5
301155,5
301156,5
301159,4
301160,4
301161,5
301163,5
301164,5
301165,2
301167,1
301168,5
301169,5
301170,5
301174,5
301176,5
301177,5
301179,5
301182,5
301183,5
301184,4
301186,5
301191,5
301192,5
301193,1
301197,5
301198,5
301200,5
301202,5
301203,5
301204,5
301206,1
301207,2
301208,5
301209,2
301210,5
301211,3
301214,5
301217,5
301218,5
301219,1
301221,5
301222,5
301225,5
301226,5
301228,-1
301229,5
301232,1
301233,3
301234,1
301236,5
301237,5
301239,5
301241,3
301244,5
301245,3
301247,5
301248,1
301249,2
301250,4
301251,0
301252,5
301254,2
301256,4
301258,5
301259,5
301261,5
301262,1
301263,0
301265,3
301266,1
301267,5
301268,5
301269,5
301270,-1
301271,1
301272,5
301273,5
301274,5
301275,4
301276,5
301277,0
301278,5
301279,5
301281,2
301283,5
301285,5
301286,5
301288,2
301289,2
301290,5
301291,1
301292,5
301294,5
301295,2
301296,5
301297,0
301299,2
301300,5
301302,5
301303,5
301304,4
301305,4
301306,3
301307,0
301308,2
301310,5
301312,5
301313,5
301314,3
301315,5
301317,5
301320,5
301322,5
301324,1
301325,5
301327,3
301330,5
301332,5
301333,2
301336,5
301337,5
301338,5
301340,2
301343,5
301345,5
301347,5
301349,3
301350,3
301351,5
301352,4
301354,-1
301355,1
301360,3
301361,5
301362,2
301364,5
301365,5
301367,5
301368,0
301369,5
301370,0
301371,4
301373,5
301374,5
301384,5
301385,5
301386,0
301387,5
301388,1
301390,5
301391,2
301394,5
301395,4
301398,5
301400,5
301401,5
301402,5
301403,5
301405,3
301406,5
301407,3
301408,5
301409,5
301410,5
301411,5
301414,5
301415,5
301416,1
301417,5
301418,5
301424,5
301425,5
301426,5
301428,5
301429,5
301430,5
301431,5
301432,5
301433,5
301434,5
301437,5
301440,5
301441,5
301442,5
301443,5
301445,0
301446,5
301447,1
301448,5
301449,5
301450,5
301451,0
301452,5
301453,5
301454,5
301455,5
301456,3
301458,3
301459,-1
301460,5
301461,1
301462,5
301463,3
301464,1
301465,5
301466,5
301467,5
301468,5
301469,5
301470,5
301471,5
301473,2
301474,5
301475,5
301476,5
301477,5
301478,5
301479,5
301480,5
301481,5
301482,3
301483,3
301484,5
301485,2
301486,1
301487,5
301489,5
301490,5
301491,2
301492,3
301493,5
301494,2
301495,5
301496,5
301497,5
301498,5
301499,0
301500,2
301501,5
301502,-1
301504,5
301505,3
301506,5
301507,5
301508,5
301509,5
301510,5
301511,5
301512,5
301513,2
301514,5
301515,5
301518,5
301519,5
301520,5
301521,5
301522,5
301523,5
301524,5
301525,5
301526,5
301527,5
301528,5
301529,5
301530,0
301531,3
301532,5
301533,5
301534,5
301535,5
301536,5
301537,5
301540,3
301541,5
301542,5
301543,5
301545,5
301547,5
301548,5
301549,5
301550,5
301551,5
301552,5
301553,5
301554,5
301555,5
301557,3
301559,5
301561,5
301562,5
301565,5
301566,5
301567,5
301568,5
301569,5
301570,1
301572,4
301575,5
301576,2
301577,5
301578,4
301580,5
301583,2
301584,2
301585,1
301586,5
301587,5
301588,2
301589,5
301590,5
301591,5
301592,5
301593,2
301594,5
301595,1
301596,2
301597,3
301599,1
301600,5
301601,5
301602,5
301603,4
301605,5
301606,0
301609,4
301612,4
301613,5
301614,5
301615,1
301616,3
301617,5
301618,2
301619,5
301620,2
301622,5
301624,4
301625,3
301626,5
301630,5
301632,2
301634,5
301635,5
301636,5
301637,5
301638,5
301639,5
301640,5
301642,5
301646,5
301647,5
301648,5
301649,5
301651,5
301652,5
301653,5
301654,5
301655,5
301657,5
301658,5
301659,0
301660,1
301663,5
301664,3
301665,3
301666,5
301667,5
301668,5
301669,5
301670,0
301671,5
301672,5
301673,5
301674,5
301675,5
301676,5
301677,5
301679,5
301680,5
301681,5
301682,5
301684,5
301685,5
301686,4
301687,5
301688,5
301689,5
301691,5
301692,5
301696,5
301697,5
301699,5
301700,5
301701,1
301702,5
301703,5
301704,2
301706,5
301707,5
301708,5
301709,5
301710,2
301711,5
301712,0
301713,0
301714,5
301717,4
301718,2
301720,3
301721,3
301722,5
301723,5
301724,3
301725,2
301729,5
301730,5
301731,3
301732,5
301733,2
301734,5
301735,5
301736,5
301737,5
301738,5
301739,5
301740,1
301741,-1
301742,5
301743,5
301745,4
301748,4
301751,5
301753,5
301754,2
301755,2
301756,5
301758,4
301760,3
301761,5
301762,5
301763,5
301764,5
301765,5
301768,5
301769,3
301773,5
301774,2
301778,5
301779,4
301785,5
301788,0
301789,5
301790,5
301792,5
301796,3
301798,5
301799,4
301800,0
301802,5
301804,0
301806,5
301807,5
301809,5
301810,5
301811,5
301814,4
301815,5
301816,3
301817,5
301821,2
301822,5
301824,5
301825,1
301826,4
301830,5
301831,5
301835,1
301836,5
301837,3
301838,5
301840,5
301841,5
301844,5
301845,5
301847,5
301849,5
301855,5
301856,2
301858,5
301859,5
301860,2
301862,5
301863,5
301864,1
301865,0
301867,5
301868,5
301870,5
301871,5
301873,5
301875,5
301876,5
301877,5
301878,5
301879,5
301880,5
301882,4
301883,5
301885,5
301887,5
301888,5
301890,5
301891,3
301892,4
301893,4
301894,5
301898,4
301901,1
301904,5
301905,5
301906,5
301908,1
301910,2
301911,5
301912,5
301913,5
301915,5
301917,5
301918,5
301919,5
301920,1
301921,5
301923,5
301924,1
301925,4
301926,5
301929,5
301930,5
301932,5
301933,5
301934,5
301936,1
301938,1
301939,4
301941,5
301943,2
301944,3
301945,5
301946,4
301947,5
301950,5
301954,5
301956,2
301957,5
301959,5
301962,5
301963,5
301964,4
301966,5
301967,5
301968,5
301969,3
301970,1
301972,0
301973,5
301974,5
301975,5
301977,1
301978,1
301979,5
301981,-1
301982,5
301984,5
301986,5
301988,5
301989,5
301990,5
301992,5
301993,5
301995,4
301996,3
301998,5
301999,5
302000,5
302002,5
302003,5
302005,5
302007,5
302010,5
302011,5
302015,5
302017,1
302021,5
302022,5
302023,5
302024,2
302025,5
302026,5
302027,5
302028,5
302030,5
302031,5
302032,5
302035,1
302037,5
302039,2
302040,5
302041,5
302043,0
302045,4
302046,4
302048,5
302049,5
302050,5
302051,5
302052,3
302054,4
302055,5
302056,5
302059,5
302060,3
302061,5
302062,0
302064,5
302066,5
302068,5
302069,5
302070,0
302071,5
302072,5
302073,3
302074,5
302076,4
302079,5
302083,1
302085,5
302086,5
302089,2
302091,5
302092,4
302093,5
302096,4
302098,5
302100,2
302101,5
302103,5
302104,5
302105,5
302107,5
302113,5
302114,-1
302116,5
302118,5
302121,5
302123,5
302124,5
302125,5
302126,5
302127,5
302128,1
302130,5
302131,2
302135,5
302139,5
302141,5
302143,5
302145,5
302147,5
302148,5
302151,1
302152,5
302154,5
302157,2
302158,5
302159,5
302160,5
302161,2
302163,3
302166,5
302169,1
302171,5
302172,5
302174,5
302176,5
302177,5
302178,5
302179,5
302180,4
302183,5
302184,5
302185,5
302187,5
302188,0
302189,5
302192,-1
302197,0
302198,5
302200,5
302201,4
302202,5
302211,2
302214,5
302215,5
302216,5
302217,3
302218,1
302220,5
302227,5
302230,2
302232,5
302233,5
302235,2
302237,5
302242,0
302244,5
302247,5
302249,5
302250,5
302252,5
302256,2
302257,5
302259,5
302260,2
302262,2
302263,5
302264,5
302267,2
302271,5
302274,5
302275,1
302278,5
302279,5
302283,5
302285,5
302286,5
302289,2
302290,5
302291,5
302293,3
302294,5
302295,5
302297,1
302298,5
302303,5
302306,5
302307,5
302308,5
302309,5
302312,5
302317,2
302319,5
302321,5
302322,5
302324,5
302326,5
302328,5
302331,5
302333,3
302336,5
302338,5
302339,5
302341,5
302343,0
302348,2
302349,5
302350,0
302351,1
302352,5
302354,5
302356,5
302357,5
302360,5
302361,5
302362,5
302364,5
302365,5
302366,1
302368,1
302370,2
302371,5
302375,5
302377,5
302383,1
302384,5
302386,5
302387,5
302388,5
302389,4
302391,5
302392,4
302393,5
302394,5
302396,5
302398,1
302400,0
302401,3
302402,5
302404,5
302405,5
302408,5
302409,1
302410,5
302411,5
302412,1
302413,2
302414,3
302417,5
302419,5
302421,5
302424,5
302426,5
302429,5
302430,4
302432,5
302433,5
302434,1
302435,4
302436,5
302437,5
302439,5
302440,5
302441,5
302442,1
302443,5
302445,3
302446,5
302447,3
302448,5
302449,5
302450,5
302451,5
302452,2
302453,5
302454,5
302455,5
302456,5
302457,5
302458,5
302460,5
302462,5
302463,5
302464,-1
302465,5
302466,5
302468,5
302469,5
302470,5
302471,5
302472,5
302474,5
302475,5
302476,5
302477,5
302478,5
302479,5
302480,5
302482,5
302483,5
302484,5
302485,3
302486,5
302488,5
302489,5
302490,3
302491,5
302492,2
302493,2
302494,5
302495,0
302496,5
302497,5
302498,5
302499,5
302500,5
302502,5
302503,5
302504,5
302505,5
302506,5
302507,5
302508,5
302510,5
302511,2
302513,5
302514,5
302515,3
302516,5
302517,5
302518,5
302519,5
302520,5
302521,5
302522,5
302523,0
302524,5
302525,5
302526,5
302528,5
302529,5
302530,0
302531,5
302532,5
302533,1
302534,5
302535,0
302536,5
302537,5
302538,5
302539,5
302540,5
302541,0
302543,5
302544,5
302545,5
302546,5
302547,5
302548,2
302549,5
302550,5
302551,3
302552,5
302553,5
302554,5
302555,5
302556,1
302557,0
302558,5
302559,5
302560,0
302561,5
302562,5
302563,5
302564,5
302565,5
302566,5
302567,0
302568,5
302569,1
302570,5
302573,3
302574,5
302576,5
302586,5
302587,5
302588,2
302590,5
302594,5
302597,5
302598,5
302599,5
302600,5
302602,5
302603,5
302607,5
302608,5
302609,5
302610,5
302612,5
302615,5
302618,5
302622,5
302623,5
302624,5
302625,5
302628,5
302630,3
302634,5
302635,3
302638,0
302639,3
302641,5
302642,5
302643,5
302644,5
302646,5
302654,3
302661,5
302662,1
302664,5
302666,1
302669,5
302670,5
302671,5
302674,4
302677,1
302678,5
302681,5
302694,5
302696,5
302698,3
302699,2
302700,5
302702,5
302703,5
302704,5
302708,5
302709,5
302711,1
302713,5
302714,5
302715,5
302717,5
302718,2
302719,5
302720,5
302726,5
302728,5
302729,5
302730,3
302731,5
302732,5
302735,1
302736,5
302737,5
302740,3
302742,5
302743,1
302746,0
302747,2
302748,5
302761,5
302764,5
302766,5
302767,0
302768,2
302771,5
302772,5
302777,5
302778,5
302779,5
302780,5
302785,5
302786,0
302789,3
302791,4
302793,5
302794,5
302795,5
302797,1
302798,4
302799,5
302802,3
302803,5
302808,2
302810,5
302813,5
302814,5
302819,5
302820,5
302822,5
302829,5
302830,5
302832,1
302833,4
302835,2
302836,5
302838,5
302840,1
302842,4
302843,5
302844,1
302845,5
302846,5
302847,1
302849,5
302851,-1
302854,1
302863,5
302869,5
302870,3
302873,5
302875,2
302877,4
302878,5
302881,5
302884,5
302889,5
302892,5
302893,5
302894,5
302896,5
302897,5
302898,5
302899,5
302901,5
302902,4
302904,3
302905,5
302906,0
302907,0
302911,5
302913,5
302915,0
302919,5
302920,5
302921,5
302922,5
302923,0
302924,3
302925,0
302927,5
302930,5
302932,5
302939,2
302940,5
302942,3
302945,5
302947,5
302948,5
302949,5
302950,5
302953,3
302957,5
302959,3
302964,3
302965,5
302967,5
302971,5
302973,3
302974,5
302976,5
302977,5
302979,5
302980,5
302981,5
302985,2
302990,0
302991,5
302995,3
302997,5
302998,1
303002,5
303005,5
303006,5
303008,1
303010,5
303013,5
303019,5
303020,5
303021,5
303022,5
303024,5
303025,2
303026,5
303027,0
303028,4
303039,5
303042,0
303043,5
303048,4
303049,3
303052,3
303054,5
303055,5
303058,5
303059,5
303063,5
303065,5
303068,5
303069,5
303071,5
303073,5
303074,5
303076,5
303077,5
303078,5
303082,-1
303083,5
303084,5
303085,4
303088,5
303089,4
303093,1
303094,5
303097,4
303099,5
303100,5
303102,5
303103,3
303105,5
303106,5
303109,4
303110,1
303111,1
303112,5
303113,5
303115,5
303117,5
303120,5
303123,4
303124,5
303125,1
303126,5
303128,5
303131,5
303132,5
303133,-1
303135,5
303137,5
303138,5
303140,5
303149,5
303150,5
303153,2
303155,1
303157,5
303158,5
303159,5
303160,5
303161,5
303162,5
303163,1
303166,5
303167,5
303168,5
303170,5
303171,5
303172,5
303173,3
303175,2
303176,5
303177,5
303179,5
303180,5
303181,5
303182,5
303183,5
303184,2
303187,5
303188,5
303189,4
303190,2
303193,2
303195,5
303196,5
303197,0
303198,0
303200,5
303201,4
303202,5
303204,5
303205,5
303206,5
303207,4
303208,5
303212,2
303215,2
303216,4
303218,5
303219,5
303221,-1
303224,5
303225,5
303229,0
303230,5
303231,5
303232,5
303233,1
303235,4
303236,5
303238,5
303239,5
303242,4
303244,5
303246,5
303248,5
303251,5
303252,2
303253,5
303254,5
303255,0
303259,0
303260,5
303264,5
303266,2
303271,5
303274,5
303275,5
303276,5
303278,5
303281,5
303282,5
303283,5
303284,5
303285,5
303290,5
303291,5
303292,5
303296,5
303299,5
303300,5
303301,5
303303,5
303305,0
303307,5
303311,5
303317,2
303318,0
303319,-1
303320,5
303323,3
303324,4
303325,1
303327,1
303330,5
303331,0
303334,3
303337,5
303338,3
303339,4
303340,5
303344,5
303346,0
303347,5
303348,5
303352,5
303357,5
303362,5
303364,0
303365,5
303366,0
303367,5
303369,5
303372,3
303373,5
303374,5
303375,5
303376,5
303378,5
303382,5
303383,2
303385,5
303387,5
303388,5
303391,5
303393,5
303394,5
303397,2
303398,5
303399,5
303400,5
303401,0
303402,5
303404,5
303405,5
303406,2
303407,0
303408,5
303410,3
303416,3
303417,4
303422,5
303423,5
303425,5
303427,5
303429,0
303431,2
303432,5
303435,5
303438,5
303441,2
303444,1
303445,5
303446,4
303451,5
303452,5
303453,4
303454,5
303456,5
303459,5
303465,5
303466,4
303467,5
303470,5
303471,0
303472,5
303478,3
303480,4
303481,5
303482,5
303484,5
303486,5
303487,5
303491,5
303492,5
303493,0
303494,5
303495,5
303497,5
303499,4
303504,5
303505,5
303506,4
303507,5
303508,5
303511,5
303512,5
303513,5
303514,0
303518,1
303519,1
303520,5
303521,5
303522,5
303526,4
303527,5
303528,5
303529,5
303530,5
303534,5
303536,5
303537,5
303538,3
303544,5
303545,5
303550,5
303551,0
303555,5
303557,4
303562,5
303565,5
303567,-1
303569,4
303570,5
303571,1
303572,5
303575,5
303576,5
303578,5
303579,0
303581,5
303585,5
303586,5
303590,0
303591,5
303595,5
303596,5
303597,5
303598,5
303604,5
303605,5
303612,2
303615,5
303617,5
303618,5
303619,5
303620,5
303621,5
303623,5
303625,5
303640,5
303641,5
303643,5
303645,5
303647,3
303648,2
303651,2
303652,5
303655,5
303656,4
303657,1
303661,2
303662,5
303663,5
303665,5
303667,5
303668,5
303672,5
303677,0
303678,5
303679,5
303682,5
303685,2
303687,5
303697,5
303699,4
303703,5
303704,5
303706,1
303707,5
303708,1
303711,5
303712,2
303714,5
303715,1
303716,5
303719,5
303721,5
303728,5
303729,5
